Index,Timestamp,Elapsed Time [s],Time Increment [s],Voltage [V],Current [A],Charging Coulombs [Ah],Discharging Coulombs [Ah],Estimated SOC
0,2025-02-17 17:07:39.220,0.001,,4.209815,0.0,0,0,100.0
1,2025-02-17 17:09:39.231,120.012,120.007,3.606066,1.400046,0,0.0466709,98.33318
2,2025-02-17 17:12:39.241,300.021,180.009,4.153024,0.0,0,0.0466709,98.33318
3,2025-02-17 17:14:39.256,420.037,120.008,3.578518,1.399918,0,0.0933379,96.6665
4,2025-02-17 17:18:09.727,630.507,210.47,4.121388,0.0,0,0.0933379,96.6665
5,2025-02-17 17:20:09.737,750.518,120.003,3.561169,1.399918,0,0.140003,94.99989
6,2025-02-17 17:23:57.189,977.969,227.437,4.102492,0.0,0,0.140003,94.99989
7,2025-02-17 17:25:57.199,1097.98,120.004,3.547789,1.399998,0,0.1866712,93.33317
8,2025-02-17 17:29:54.802,1335.582,237.603,4.090539,0.0,0,0.1866712,93.33317
9,2025-02-17 17:31:54.807,1455.587,120.003,3.519543,1.399894,0,0.2333355,91.66659
10,2025-02-17 17:35:58.815,1699.596,244.002,4.082512,0.0,0,0.2333355,91.66659
11,2025-02-17 17:37:58.820,1819.601,120.002,3.519022,1.399846,0,0.2799978,90.00008
12,2025-02-17 17:42:07.124,2067.904,248.298,4.076535,0.0,0,0.2799978,90.00008
13,2025-02-17 17:44:07.154,2187.935,120.028,3.516109,1.399974,0,0.3266741,88.33307
14,2025-02-17 17:48:18.662,2439.443,251.503,4.071436,0.0,0,0.3266741,88.33307
15,2025-02-17 17:50:18.673,2559.453,120.005,3.510102,1.399926,0,0.3733402,86.66642
16,2025-02-17 17:54:32.915,2813.696,254.241,4.065832,0.0,0,0.3733402,86.66642
17,2025-02-17 17:56:32.926,2933.706,120.007,3.501688,1.399878,0,0.4200055,84.9998
18,2025-02-17 18:00:50.170,3190.95,257.244,4.057863,0.0,0,0.4200055,84.9998
19,2025-02-17 18:02:50.178,3310.958,120.008,3.48917,1.399878,0,0.4666712,83.33317
20,2025-02-17 18:07:11.718,3572.499,261.537,4.046118,0.0,0,0.4666712,83.33317
21,2025-02-17 18:09:11.728,3692.508,120.006,3.473129,1.39987,0,0.5133359,81.66657
22,2025-02-17 18:13:39.550,3960.331,267.82,4.031044,0.0,0,0.5133359,81.66657
23,2025-02-17 18:15:39.569,4080.35,120.011,3.454769,1.39983,0,0.5600012,79.99995
24,2025-02-17 18:20:15.478,4356.259,275.905,4.013664,0.0,0,0.5600012,79.99995
25,2025-02-17 18:22:15.496,4476.277,120.013,3.434937,1.399886,0,0.6066691,78.33324
26,2025-02-17 18:27:00.729,4761.51,285.229,3.994739,0.0,0,0.6066691,78.33324
27,2025-02-17 18:29:00.732,4881.513,120.002,3.414451,1.399886,0,0.6533327,76.66668
28,2025-02-17 18:33:56.117,5176.897,295.384,3.975398,0.0,0,0.6533327,76.66668
29,2025-02-17 18:35:56.124,5296.905,120.005,3.395228,1.399982,0,0.7000007,74.99997
30,2025-02-17 18:41:01.874,5602.654,305.748,3.956666,0.0,0,0.7000007,74.99997
31,2025-02-17 18:43:01.884,5722.664,120.004,3.377403,1.400046,0,0.7466705,73.33319
32,2025-02-17 18:48:17.695,6038.475,315.806,3.939287,0.0,0,0.7466705,73.33319
33,2025-02-17 18:50:17.730,6158.51,120.031,3.361064,1.399926,0,0.7933468,71.66618
34,2025-02-17 18:55:42.852,6483.632,325.122,3.923261,0.0,0,0.7933468,71.66618
35,2025-02-17 18:57:42.894,6603.675,120.036,3.346466,1.39995,0,0.8400254,69.99909
36,2025-02-17 19:03:16.619,6937.399,333.722,3.908186,0.0,0,0.8400254,69.99909
37,2025-02-17 19:05:16.643,7057.423,120.022,3.33316,1.39991,0,0.8866976,68.33223
38,2025-02-17 19:10:58.456,7399.237,341.81,3.893379,0.0,0,0.8866976,68.33223
39,2025-02-17 19:12:58.466,7519.247,120.009,3.319884,1.399926,0,0.9333653,66.66553
40,2025-02-17 19:18:48.261,7869.042,349.792,3.87811,0.0,0,0.9333653,66.66553
41,2025-02-17 19:20:48.280,7989.061,120.015,3.306445,1.399982,0,0.9800372,64.99868
42,2025-02-17 19:26:46.235,8347.016,357.951,3.862278,0.0,0,0.9800372,64.99868
43,2025-02-17 19:28:46.251,8467.032,120.011,3.292946,1.400014,0,1.0267086,63.33184
44,2025-02-17 19:34:52.690,8833.471,366.439,3.84588,0.0,0,1.0267086,63.33184
45,2025-02-17 19:36:52.727,8953.507,120.033,3.278555,1.399918,0,1.073385,61.66483
46,2025-02-17 19:43:07.959,9328.74,375.231,3.82914,0.0,0,1.073385,61.66483
47,2025-02-17 19:45:07.971,9448.752,120.008,3.26351,1.399958,0,1.1200534,59.9981
48,2025-02-17 19:51:32.186,9832.967,384.215,3.812519,0.0,0,1.1200534,59.9981
49,2025-02-17 19:53:32.193,9952.973,120.004,3.248138,1.399894,0,1.1667181,58.3315
50,2025-02-17 20:00:05.325,10346.106,393.133,3.796165,0.0,0,1.1667181,58.3315
51,2025-02-17 20:02:05.354,10466.135,120.026,3.233182,1.399894,0,1.2133913,56.6646
52,2025-02-17 20:08:47.258,10868.039,401.901,3.780303,0.0,0,1.2133913,56.6646
53,2025-02-17 20:10:47.262,10988.043,120.003,3.217245,1.39999,0,1.2600588,54.9979
54,2025-02-17 20:17:37.675,11398.456,410.413,3.764753,0.0,0,1.2600588,54.9979
55,2025-02-17 20:19:37.692,11518.474,120.013,3.202229,1.399926,0,1.3067277,53.33115
56,2025-02-17 20:26:36.443,11937.224,418.749,3.749336,0.0,0,1.3067277,53.33115
57,2025-02-17 20:28:36.453,12057.234,120.005,3.186754,1.399781,0,1.353389,51.66468
58,2025-02-17 20:35:43.478,12484.259,427.02,3.733934,0.0,0,1.353389,51.66468
59,2025-02-17 20:37:43.492,12604.273,120.01,3.171619,1.399942,0,1.4000576,49.99794
60,2025-02-17 20:44:58.781,13039.562,435.289,3.718622,0.0,0,1.4000576,49.99794
61,2025-02-17 20:46:58.793,13159.574,120.006,3.156425,1.399926,0,1.4467241,48.33128
62,2025-02-17 20:54:22.293,13603.074,443.496,3.703591,0.0,0,1.4467241,48.33128
63,2025-02-17 20:56:22.301,13723.082,120.004,3.141633,1.399966,0,1.4933912,46.6646
64,2025-02-17 21:03:53.866,14174.647,451.559,3.689215,0.0,0,1.4933912,46.6646
65,2025-02-17 21:05:53.898,14294.679,120.03,3.127763,1.399878,0,1.5400655,44.99766
66,2025-02-17 21:13:33.165,14753.945,459.264,3.675508,0.0,0,1.5400655,44.99766
67,2025-02-17 21:15:33.196,14873.977,120.025,3.114249,1.399966,0,1.5867408,43.33069
68,2025-02-17 21:23:19.845,15340.626,466.646,3.662634,0.0,0,1.5867408,43.33069
69,2025-02-17 21:25:19.854,15460.634,120.007,3.101598,1.39995,0,1.6334085,41.66399
70,2025-02-17 21:33:13.413,15934.193,473.557,3.650414,0.0,0,1.6334085,41.66399
71,2025-02-17 21:35:13.420,16054.201,120.004,3.089674,1.400038,0,1.680078,39.99722
72,2025-02-17 21:43:13.510,16534.291,480.091,3.638669,0.0,0,1.680078,39.99722
73,2025-02-17 21:45:13.538,16654.318,120.026,3.077617,1.399966,0,1.7267536,38.33023
74,2025-02-17 21:53:19.928,17140.709,486.385,3.627162,0.0,0,1.7267536,38.33023
75,2025-02-17 21:55:19.938,17260.719,120.007,3.065962,1.399878,0,1.7734189,36.66361
76,2025-02-17 22:03:32.501,17753.281,492.56,3.615491,0.0,0,1.7734189,36.66361
77,2025-02-17 22:05:32.513,17873.293,120.008,3.054396,1.399934,0,1.8200865,34.99691
78,2025-02-17 22:13:51.352,18372.133,498.834,3.603182,0.0,0,1.8200865,34.99691
79,2025-02-17 22:15:51.357,18492.137,120.002,3.04228,1.39995,0,1.8667523,33.33027
80,2025-02-17 22:24:16.785,18997.566,505.422,3.589505,0.0,0,1.8667523,33.33027
81,2025-02-17 22:26:16.797,19117.578,120.009,3.029197,1.400014,0,1.9134229,31.66346
82,2025-02-17 22:34:49.578,19630.358,512.78,3.574267,0.0,0,1.9134229,31.66346
83,2025-02-17 22:36:49.586,19750.366,120.005,3.014568,1.39991,0,1.9600885,29.99683
84,2025-02-17 22:45:30.521,20271.302,520.936,3.558345,0.0,0,1.9600885,29.99683
85,2025-02-17 22:47:30.531,20391.311,120.005,2.998022,1.399918,0,2.0067544,28.33019
86,2025-02-17 22:56:20.030,20920.811,529.5,3.542021,0.0,0,2.0067544,28.33019
87,2025-02-17 22:58:20.035,21040.815,120.002,2.980003,1.399934,0,2.0534196,26.66358
88,2025-02-17 23:07:18.262,21579.043,538.227,3.523244,0.0,0,2.0534196,26.66358
89,2025-02-17 23:09:18.298,21699.078,120.03,2.960766,1.399934,0,2.1000957,24.99658
90,2025-02-17 23:18:26.610,22247.39,548.309,3.502476,0.0,0,2.1000957,24.99658
91,2025-02-17 23:20:26.617,22367.397,120.006,2.941648,1.399998,0,2.1467646,23.32983
92,2025-02-17 23:29:46.061,22926.842,559.442,3.481454,0.0,0,2.1467646,23.32983
93,2025-02-17 23:31:46.069,23046.85,120.004,2.925532,1.399942,0,2.1934309,21.66318
94,2025-02-17 23:41:16.793,23617.574,570.724,3.462915,0.0,0,2.1934309,21.66318
95,2025-02-17 23:43:16.802,23737.582,120.003,2.910948,1.399958,0,2.2400973,19.99652
96,2025-02-17 23:52:57.464,24318.245,580.662,3.450041,0.0,0,2.2400973,19.99652
97,2025-02-17 23:54:57.477,24438.258,120.007,2.893881,1.400038,0,2.286768,18.32971
98,2025-02-18 00:04:45.048,25025.829,587.571,3.438044,0.0,0,2.286768,18.32971
99,2025-02-18 00:06:45.055,25145.835,120.006,2.871224,1.399918,0,2.3334343,16.66306
100,2025-02-18 00:16:39.094,25739.875,594.034,3.42282,0.0,0,2.3334343,16.66306
101,2025-02-18 00:18:39.119,25859.899,120.02,2.835262,1.400046,0,2.3801103,14.99606
102,2025-02-18 00:28:41.326,26462.107,602.206,3.389653,0.0,0,2.3801103,14.99606
103,2025-02-18 00:30:41.341,26582.122,120.008,2.782872,1.400046,0,2.4267816,13.32923
104,2025-02-18 00:41:01.310,27202.091,619.963,3.351401,0.0,0,2.4267816,13.32923
105,2025-02-18 00:43:01.323,27322.104,120.008,2.734511,1.399966,0,2.4734502,11.66249
106,2025-02-18 00:53:41.807,27962.588,640.478,3.312094,0.0,0,2.4734502,11.66249
107,2025-02-18 01:23:41.811,29762.596,1800.005,3.322902,0.0,0,2.4734502,11.66249
108,2025-02-18 01:39:41.821,30722.601,960.004,3.179231,0.17474,0,2.5200477,9.99829
109,2025-02-18 04:39:36.856,41517.637,10795.036,3.29241,0.0,0,2.5200477,9.99829
110,2025-02-18 04:55:36.867,42477.648,960.004,3.127391,0.174532,0,2.5665898,8.33607
111,2025-02-18 07:55:36.874,53277.655,10800.007,3.244615,0.0,0,2.5665898,8.33607
112,2025-02-18 08:11:36.893,54237.674,960.011,3.069902,0.174861,0,2.6132199,6.67071
113,2025-02-18 11:11:36.905,65037.686,10800.008,3.192492,0.0,0,2.6132199,6.67071
114,2025-02-18 11:27:36.913,65997.694,960.006,3.006124,0.17474,0,2.6598175,5.00651
115,2025-02-18 14:27:36.918,76797.698,10800.002,3.13643,0.0,0,2.6598175,5.00651
116,2025-02-18 14:43:36.955,77757.736,960.031,2.935403,0.174395,0,2.7063243,3.34555
117,2025-02-18 17:43:36.964,88557.745,10800.006,3.075938,0.0,0,2.7063243,3.34555
118,2025-02-18 17:59:36.972,89517.753,960.005,2.833389,0.174796,0,2.7529368,1.68082
119,2025-02-18 20:59:36.985,100317.766,10800.006,2.994796,0.0,0,2.7529368,1.68082
120,2025-02-18 21:15:36.989,101277.77,960.002,2.644568,0.174949,0,2.79959,0.01463
121,2025-02-19 00:15:36.997,112077.778,10800.008,2.87002,0.0,0,2.79959,0.01463
122,2025-02-19 00:31:37.009,113037.79,960.007,2.345942,0.17462,0,2.8461557,-1.64843
123,2025-02-19 03:31:37.018,123837.798,10800.005,2.63263,0.0,0,2.8461557,-1.64843
124,2025-02-19 03:47:37.026,124797.807,960.004,1.757521,0.174724,0,2.892749,-3.31248
125,2025-02-19 06:47:37.040,135597.82,10800.014,2.386647,0.0,0,2.892749,-3.31248
126,2025-02-19 06:52:37.057,135897.837,300.015,2.388268,0.0,0,2.892749,-3.31248
127,2025-02-19 06:57:37.060,136197.841,300.001,2.389843,0.0,0,2.892749,-3.31248
128,2025-02-19 07:02:37.079,136497.859,300.018,2.391404,0.0,0,2.892749,-3.31248
129,2025-02-19 07:07:37.084,136797.864,300.001,2.39292,0.0,0,2.892749,-3.31248
130,2025-02-19 07:12:37.090,137097.871,300.007,2.394407,0.0,0,2.892749,-3.31248
131,2025-02-19 07:17:37.097,137397.877,300.006,2.395894,0.0,0,2.892749,-3.31248
132,2025-02-19 07:22:37.117,137697.898,300.015,2.397306,0.0,0,2.892749,-3.31248
133,2025-02-19 07:27:37.121,137997.902,300.002,2.398748,0.0,0,2.892749,-3.31248
134,2025-02-19 07:32:37.138,138297.919,300.017,2.400146,0.0,0,2.892749,-3.31248
